cidade;latitude;longitude
Sao Paulo;-23.5504;-46.6339
Rio de Janeiro;-22.9083;-43.1964
Belo Horizonte;-19.8917;-43.9478
Brasilia;-15.7744;-48.0773
Salvador;-12.9708;-38.5108
Fortaleza;-3.7275;-38.5275
Curitiba;-25.4297;-49.2719
Manaus;-3.1;-60.0167
Vitoria;-20.324;-40.366
Recife;-8.0539;-34.8808
Porto Alegre;-30.0328;-51.23
Goiania;-16.6789;-49.2539
Belem;-1.4558;-48.5039
Guarulhos;-23.4667;-46.5333
Campinas;-22.9009;-47.0573
Sao Luis;-2.53;-44.3028
Maceio;-9.6658;-35.735
Joinvile;-26.32;-48.8399
Olinda;-8;-34.85
Novo Hamburgo;-29.7096;-51.14
Campo Grande;-20.4686;-54.6222
Teresina;-5.0949;-42.8042
Iguacu;-22.74;-43.47
Sao Bernardo do Campo;-23.6939;-46.565
Joao Pessoa;-7.0833;-34.8333
Santo Andre;-23.6572;-46.5333
Jaboatao;-8.1803;-35.0014
Osasco;-23.5328;-46.7919
Sao Jose dos Campos;-23.1789;-45.8869
Aracaju;-10.9111;-37.0717
Ribeirao Preto;-21.1783;-47.8067
Sao Jose dos Pinhais;-25.57;-49.18
Sorocaba;-23.5019;-47.4578
Uberlandia;-18.9189;-48.2769
Canoas;-29.92;-51.18
Cuiaba;-15.5958;-56.0969
Londrina;-23.3;-51.18
Niteroi;-22.8833;-43.1036
Feira de Santana;-12.25;-38.97
Americana;-22.7392;-47.3314
Florianopolis;-27.5933;-48.553
Macapa;-0.033;-51.0653
Vila Velha;-20.3364;-40.2936
Juiz de Fora;-21.7642;-43.3503
Volta Redonda;-22.5196;-44.095
Maua;-23.6678;-46.4608
Sao Jose do Rio Preto;-20.82;-49.3789
Santos;-23.9608;-46.3339
Mogi das Cruzes;-23.5228;-46.1931
Diadema;-23.6858;-46.6228
Ipatinga;-19.4796;-42.52
Campina Grande;-7.2306;-35.8811
Jundiai;-23.1864;-46.8842
Carapicuiba;-23.5228;-46.8358
Campos;-21.7523;-41.3304
Rio Branco;-9.9781;-67.8117
Caxias do Sul;-29.18;-51.17
Bauru;-22.3147;-49.0606
Anapolis;-16.3269;-48.9528
Montes Claros;-16.7322;-43.8636
Sao Vicente;-23.9633;-46.3922
Itaquaquecetuba;-23.4864;-46.3486
Piracicaba;-22.725;-47.6489
Franca;-20.5389;-47.4008
Maringa;-23.4095;-51.93
Itajai;-26.8996;-48.68
Boa Vista;2.82;-60.6719
Uberaba;-19.7478;-47.9319
Pelotas;-31.75;-52.33
Guaruja;-23.9936;-46.2564
Blumenau;-26.9189;-49.0658
Vitoria da Conquista;-14.8661;-40.8394
Porto Velho;-8.7619;-63.9039
Taubate;-23.0333;-45.55
Praia Grande;-24.0058;-46.4028
Petropolis;-22.505;-43.1789
Limeira;-22.5647;-47.4017
Ponta Grossa;-25.09;-50.16
Crato;-7.2342;-39.4094
Palmas;-10.2128;-48.3603
Taboao da Serra;-23.6019;-46.7528
Maraba;-5.3689;-49.1178
Sumare;-22.8219;-47.2669
Barueri;-23.5111;-46.8764
Petrolina;-9.38;-40.51
Cascavel;-24.9558;-53.4553
Foz do Iguacu;-25.5478;-54.5878
Governador Valadares;-18.87;-41.97
Varzea Grande;-15.65;-56.14
Santa Maria;-29.6833;-53.8
Caruaru;-8.28;-35.98
Sao Carlos;-22.0178;-47.8908
Marilia;-22.2139;-49.9458
Indaiatuba;-23.0903;-47.2181
Ilheus;-14.7936;-39.0395
Santarem;-2.4431;-54.7083
Cotia;-23.6039;-46.9189
Jacarei;-23.305;-45.9658
Araraquara;-21.7939;-48.1758
Juazeiro do Norte;-7.21;-39.32
Itapevi;-23.5489;-46.9342
Presidente Prudente;-22.1258;-51.3889
Itabuna;-14.7896;-39.28
Imperatriz;-5.52;-47.49
Hortolandia;-22.8583;-47.22
Criciuma;-28.68;-49.39
Timon;-5.115;-42.845
Mossoro;-5.19;-37.34
Sete Lagoas;-19.4496;-44.25
Rio Claro;-22.4108;-47.5608
Divinopolis;-20.1495;-44.9
Aracatuba;-21.2089;-50.4328
Santa Barbara Oeste;-22.7539;-47.4139
Cachoeiro de Itapemirim;-20.8489;-41.1128
Rio Grande;-32.0495;-52.12
Arapiraca;-9.7525;-36.6611
Cabo Frio;-22.8789;-42.0189
Santo Agostinho;-8.2869;-35.035
Ferraz de Vasconcelos;-23.5411;-46.3689
Passo Fundo;-28.25;-52.42
Nova Friburgo;-22.26;-42.54
Barra Mansa;-22.56;-44.17
Francisco Morato;-23.2817;-46.7425
Itapecerica da Serra;-23.7172;-46.8494
Itu;-23.2642;-47.2992
Carpina;-7.8508;-35.2547
Dourados;-22.23;-54.81
Braganca Paulista;-22.9189;-46.5425
Pindamonhangaba;-22.9239;-45.4617
Chapeco;-27.1;-52.64
Rio Largo;-9.4783;-35.8533
Barreiras;-12.1528;-44.99
Sao Caetano do Sul;-23.6228;-46.5508
Sobral;-3.6861;-40.3497
Itapetininga;-23.5917;-48.0531
Lajes;-27.8158;-50.3258
Rondonopolis;-16.4695;-54.64
Guarapuava;-25.38;-51.48
Patos de Minas;-18.5871;-46.5149
Mogi Guacu;-22.3719;-46.9419
Pocos de Caldas;-21.78;-46.57
Franco da Rocha;-23.3286;-46.7244
Jau;-22.2958;-48.5578
Macae;-22.38;-41.79
Paranagua;-25.5279;-48.5345
Botucatu;-22.8858;-48.445
Parnaiba;-2.91;-41.77
Castanhal;-1.2939;-47.9264
Atibaia;-23.1172;-46.5506
Jequie;-13.85;-40.08
Caxias;-4.833;-43.35
Jaragua do Sul;-26.48;-49.1
Araras;-22.3569;-47.3839
Cubatao;-23.8953;-46.4256
Santana de Parnaiba;-23.4439;-46.9178
Barbacena;-21.2258;-43.7739
Uruguaiana;-29.755;-57.0878
Resende;-22.4689;-44.4469
Alagoinhas;-12.1356;-38.4192
Porto Seguro;-16.4296;-39.08
Ribeirao Pires;-23.7108;-46.4128
Valinhos;-22.9708;-46.9958
Sertaozinho;-21.1378;-47.99
Barretos;-20.5569;-48.5678
Guaratingueta;-22.8167;-45.2278
Jandira;-23.5278;-46.9028
Santa Cruz do Sul;-29.7178;-52.4258
Birigui;-21.2889;-50.34
Araguari;-18.6489;-48.1869
Tatui;-23.3556;-47.8569
Varzea Paulista;-23.2108;-46.8278
Pouso Alegre;-22.22;-45.94
Salto;-23.2008;-47.2869
Poa;-23.5286;-46.345
Caraguatatuba;-23.62;-45.4128
Uba;-21.12;-42.9428
Itatiba;-23.0058;-46.8389
Conselheiro Lafaiete;-20.67;-43.79
Ourinhos;-22.9789;-49.8708
Garanhuns;-8.89;-36.5
Catanduva;-21.14;-48.98
Corumba;-19.0089;-57.6528
Apucarana;-23.55;-51.47
Bage;-31.32;-54.1
Linhares;-19.39;-40.05
Araxa;-19.5928;-46.9408
Assis;-22.6619;-50.4119
Santo Antonio de Jesus;-12.9692;-39.2611
Teofilo Otoni;-17.87;-41.5
Mairipora;-23.3189;-46.5869
Leme;-22.1858;-47.39
Passos;-20.71;-46.61
Paulinia;-22.7611;-47.1542
Trindade;-16.65;-49.5
Arapongas;-23.41;-51.43
Tubarao;-28.4669;-49.0069
Ituiutaba;-19.0151;-49.5504
Erechim;-27.63;-52.27
Juazeiro;-9.42;-40.5
Ponta Pora;-22.5361;-55.7256
Bento Goncalves;-29.1695;-51.52
Patos;-7.0196;-37.29
Itaituba;-4.2761;-55.9836
Mogi Mirim;-22.4319;-46.9578
Votuporanga;-20.4228;-49.9728
Muriae;-21.13;-42.39
Cacapava;-23.1008;-45.7069
Itanhaem;-24.1831;-46.7889
Sao Joao da Boa Vista;-21.9689;-46.7978
Brusque;-27.13;-48.93
Nova Lima;-19.9858;-43.8469
Catalao;-18.17;-47.9419
Ubatuba;-23.4339;-45.0708
Paulo Afonso;-9.3307;-38.2657
Caceres;-16.05;-57.51
Aruja;-23.3967;-46.3211
Santana;-0.0583;-51.1817
Santana do Livramento;-30.8908;-55.5328
Codo;-4.4796;-43.88
Sao Sebastiao;-23.76;-45.41
Lavras;-21.2453;-44.9997
Matao;-21.6033;-48.3658
Avare;-23.0986;-48.9258
Formosa;-15.5395;-47.34
Campo Limpo;-23.2064;-46.7844
Itumbiara;-18.3996;-49.21
Abaetetuba;-1.7245;-48.8849
Tres Lagoas;-20.7876;-51.7034
Sao Joao del Rei;-21.13;-44.25
Bebedouro;-20.9494;-48.4792
Itauna;-20.0753;-44.5764
Sao Mateus;-18.7201;-39.8589
Jatai;-17.8794;-51.7217
Ibiuna;-23.6564;-47.2225
Tucurui;-3.68;-49.72
Lins;-21.6786;-49.7425
Jabuticabal;-21.255;-48.3219
Campo Mourao;-24.0496;-52.42
Cachoeira do Sul;-30.03;-52.91
Piracununga;-21.9961;-47.4258
Itapira;-22.4361;-46.8217
Tres Coracoes;-21.6947;-45.2553
Vinhedo;-23.03;-46.975
Bacabal;-4.23;-44.8
Porto Uniao;-26.2396;-51.08
Goiana;-7.5606;-35.0025
Ijui;-28.3878;-53.9147
Altamira;-3.1996;-52.21
Paracatu;-17.2217;-46.875
Iguatu;-6.3594;-39.2986
Guajara-Mirim;-10.8;-65.3499
Mococa;-21.4678;-47.0047
Fernandopolis;-20.2839;-50.2458
Balsas;-7.5325;-46.0356
Santa Ines;-3.6667;-45.38
EmbuGuacu;-23.8322;-46.8117
Cosmopolis;-22.6458;-47.1961
Lencois Paulista;-22.5986;-48.8003
Tupa;-21.935;-50.5139
Rio Negro;-26.1;-49.79
Santo Angelo;-28.3;-54.28
JiParana;-10.8333;-61.967
Gurupi;-11.7292;-49.0686
Parintins;-2.61;-56.74
Curvelo;-18.7564;-44.4308
Cacador;-26.7753;-51.015
Irece;-11.3042;-41.8558
Valenca;-13.3703;-39.0731
Vilhena;-12.7166;-60.1166
